id,tytul,autor,ilosc,kategoria
314,"Kąpiele i nauczanie pływania na koloniach i obozach letnich","Adam Kalinowski",2,"Obóz i kolonie"
315,"Obóz Harcerski","Jerzy Parzyński",2,"Obóz i kolonie"
316,"Nieobozowe Lato - poradnik zastępowego","Główna Kwatera",4,"Obóz i kolonie"
317,"Poradnik Wychowawcy Kolonijnego","Aleksander Nocuń, Joanna Papuzińska, Anna Przecławska, Jan Sawa",1,"Obóz i kolonie"
318,"Instrukcja finansowa obozu","Główna Kwatera",3,"Obóz i kolonie"
319,"Nasze Aktywne Lato","Centralna Szkoła Instruktorów Harcerskich",2,"Obóz i kolonie"
320,"Obrzędowość na kolonii zuchowej","Centralna Szkoła Instruktorów Harcerskich, Stefan Wojtkiewicz",1,"Obóz i kolonie"
321,"Obozownictwo, cz I","zespół programowy Komendy Chorągwi Łódzkiej",2,"Obóz i kolonie"
322,"Obozownictwo, cz 2","zespół programowy Komendy Chorągwi Łódzkiej",3,"Obóz i kolonie"
323,"Zdobnictwo obozowe (1)","Leszek Abrahamowicz",8,"Obóz i kolonie"
324,"Zdobnictwo obozowe (2)",Nieznany,6,"Obóz i kolonie"
325,"Organizacja wypoczynku dzieci i młodzieży","Praca zbiorowa",3,"Obóz i kolonie"
326,"Obóz Harcerski i jego urządzenia","Janusz Strużyna",5,"Obóz i kolonie"
327,"Poradnik komendanta obozu","Hm.PL Karol Klimek",19,"Obóz i kolonie"
328,"Bezpieczny wypoczynek dzieci i młodzieży - zbiór aktów prawnych, wzory druków, porady praktyczne","Tadeusz Zagajewski",1,"Obóz i kolonie"
329,"Bezpieczny wypoczynek dzieci i młodzieży - poradnik dla organizatorów, kierowników, wychowawców - kolonii, obozów, wycieczek","Tadeusz Zagajewski",1,"Obóz i kolonie"
330,"ABC imprez na orientację","Jerzy Dymarski",1,"Obóz i kolonie"
331,"Poradnik dla organizatorów wypoczynku dzieci i młodzieży 1997","Tadeusz Zagajewski",2,"Obóz i kolonie"
332,"Poradnik organiztora obozów harcerskich","Praca zbiorowa",5,"Obóz i kolonie"
333,"Sztuka obozowania","Tomasz Kucharzewski",2,"Obóz i kolonie"
334,"Harcerska książka kucharska","twoje menu",1,"Obóz i kolonie"
335,"Nasze ogniska 1","Wydawnictwo Harcerskie",1,"Obóz i kolonie"
336,"Nasze ogniska 2","Wydawnictwo Harcerskie",1,"Obóz i kolonie"
337,"Nasze ogniska 8","Wydawnictwo Harcerskie",1,"Obóz i kolonie"
338,"Nasze ogniska 9","Wydawnictwo Harcerskie",1,"Obóz i kolonie"
339,"Na wczasach bezpiecznie","Biblioteczka wczasowa",3,"Obóz i kolonie"
340,"Nieobozowe lato - program","Wydawnictwo Harcerskie",1,"Obóz i kolonie"
341,"Przy ognisku","Irena Dynowska, Piotr Maluśkiewicz",2,"Obóz i kolonie"
342,"Wycieczki harcerskie","Wiktor Szyryński",1,"Obóz i kolonie"
343,"Wypoczynek, wczasy, wychowanie","Biblioteczka wczasowa",1,"Obóz i kolonie"
344,"Sport na obozie","A. Podawca",1,"Obóz i kolonie"
345,"Książka pracy kolonii zuchowej","Związek Harcerstwa Polskiego",1,"Obóz i kolonie"
346,"Kolonia zuchowa od A do Z","Namiestnikctwo zuchowe w Katowicach",1,"Obóz i kolonie"
347,"Materiały repertuarowe na kolonie","Główna Kwatera",1,"Obóz i kolonie"
348,"Książka pracy obozu","Główna Kwatera",6,"Obóz i kolonie"
349,"Technika na wycieczkach i obozach","Zygmunt Dąbrowski",2,"Obóz i kolonie"
350,"Technika na obozach harcerskich","Zygmunt Dąbrowski",1,"Obóz i kolonie"
351,"Obóz harcerski i jego urządzenia","Janusz Strużyna, Satnisław Szadkowski",1,"Obóz i kolonie"
352,"Nauka i praca dzieci na wczasach - ogniska","Wydawnictwo Prasa Wojskowa",1,"Obóz i kolonie"
353,"Racjonalne żywienie na obozie harcerskim","Dr Andrzej Fersten Hm., Jan Sadowski Hm.",1,"Obóz i kolonie"
354,"Wypoczynek dzieci i młodzierzy - program i organizacja pracy wychowawczej",Horyzonty,1,"Obóz i kolonie"
355,"Wycieczki i zajęcia terenowe","Czesław Hakke, Narcyz Nonas",1,"Obóz i kolonie"
356,"Notatnik - poradnik zastępowego NAL",Horyzonty,1,"Obóz i kolonie"
357,"Zastępowemu NAL","Paweł Zarębski",1,"Obóz i kolonie"
358,"Vademecum oboźnego 1",Zdzichna-Druh,2,"Obóz i kolonie"
359,"Nieobozowa akcja letnia 1996, propozycje działania","Główna Kwatera",1,"Obóz i kolonie"
360,"Nieobozowa akcja letnia 2000, każde miejsce ma swoją opowieść","HM. Michał Królikowski",1,"Obóz i kolonie"
361,"Indiańskie lato - zasadnik kolonijno-obozowy","Stefan Wojtkiewicz",1,"Obóz i kolonie"
362,"Rekreacja fizyczna na wczasach","Praca zbiorowa",1,"Obóz i kolonie"
363,"Urządzenia obozowe","Janusz Strużyna, Satnisław Szadkowski",3,"Obóz i kolonie"
364,"Samoocena obozu","Jan Witkowicz",1,"Obóz i kolonie"
365,"Baza obozowa","Marcin Wpjciechowski",3,"Obóz i kolonie"
366,"Pionierka i zdobnictwo obozowe - lato bez papierosa","Związek Harcerstwa Polskiego",1,"Obóz i kolonie"
367,"Bezpieczna woda - Zasady bezoiecznego zachowania nad wodą, w wodzie i na wodzie","Ministerstwo Sportu i Turystyki",2,"Obóz i kolonie"
368,"Poradnik bezpiecznego wypoczynku","Ministerstwo edukacji narodowej",9,"Obóz i kolonie"
369,"Szkolny informator wycieczkowy","Józef Kuran",1,"Obóz i kolonie"
370,"Niezależni architekci lata, propozycje programowe na nieobozową harcerską akcję letnią '95","Główna Kwatera",4,"Obóz i kolonie"
371,"Oj nie łatwo, oj nie łątwo jest żyć nastolatkom","Paula Szymańska",1,Instruktorzy
372,"Elementarz wiary ","Tadeusz Karkosz",1,Instruktorzy
373,"Harcerska akademia bezpieczeństwa","Chorągiew Łódzka",11,Instruktorzy
374,"Kształcenie metodą Harcerską - zeszyt IV","Szkoła instruktorska Chorągwi Gdańskiej ZHP",1,Instruktorzy
375,"Na Nieprzetartym Szlaku w Chorągwi Łódzkiej ","pod red. hm. Marcina Banisiaka",1,Instruktorzy
376,"Młodzież w ochronie przeciwpożarowej","Zdzisław Strzemieczny",4,Instruktorzy
377,"Instruktorska czytanka - artykuły z miesięcznika Krąg","pod red. Grzegorza Całka",2,Instruktorzy
378,"Modlitewnik harcerski","Włodzimierz Chudziński",2,Instruktorzy
379,"Harcerstwo 2010+","Chorągiew Łódzka",1,Instruktorzy
380,"Harcerstwo w służbie Bogu","Janusz Strojny",2,Instruktorzy
381,"Wychowanie ku przyszłości","Związek Harcerstwa Polskiego",1,Instruktorzy
382,"Instruktorskie drogi rozwoju","Centralna Szkoła Instruktorska",1,Instruktorzy
383,"Harcerski styl życia - wartość ciągle poszukiwana?","Zespół Kształcenia Chorągwii Wielkopolskiej",1,Instruktorzy
384,"Przewodnik dla Przewodnika - poradnik drużynowych harcerskich","Ewa Prędka",1,Instruktorzy
385,"Uchwały konferencji WOSM i WAGGGS",Horyznoty,3,Instruktorzy
386,"Światowa organizacja ruchu skautowego (WOSM)",Horyznoty,3,Instruktorzy
387,"Zasady fundamentalne; Konstytucja i regulaminy WOSM i WAGGGS",Horyzonty,2,Instruktorzy
388,"Katalog europejskich organizacji skautowych",Horyzonty,1,Instruktorzy
389,"W szczepie starszoharcerskim","Stefan Wajda",3,Instruktorzy
390,"Tylko dla instruktorów","Bogusław i Wojciech liwerscy",13,Instruktorzy
391,"Kadra - harcerstwo a szkoła","Główna Kwatera",5,Instruktorzy
392,"Kadra - wybrane dokumenty i materiały dla organizatorów kursów instruktorskich","Główna Kwatera",8,Instruktorzy
393,"Kadra - poradnik dla komisji stopni instruktorskich","Główna Kwatera",1,Instruktorzy
394,"Kadra - wybrane dokumenty dotyczące uzyskiwania specjalizacji zawodowych","Główna Kwatera",1,Instruktorzy
395,"Kadra - wybrane dokumenty i materiały dot. kadry instruktorskiej","Główna Kwatera",1,Instruktorzy
396,"Kadra - wybrane dokumenty i materiały dot. harcerstwa akademickiego ","Główna Kwatera",1,Instruktorzy
397,"Jak zdobywać stopnie instruktorskie",Horyzonty,29,Instruktorzy
398,"Poradnik organizatora kursów drużynowych starszoharcerskich","Małgorzata Arendt",2,Instruktorzy
399,"Konferencje harcmistrzowskie ZHP 1992/93","Główna Kwatera",2,Instruktorzy
400,"Kształcenie instruktorów - programy kursów","Główna Kwatera",5,Instruktorzy
401,"We własnych oczach",Horyzonty,1,Instruktorzy
402,"Regulamin odznak i oznak zuchowych, harcerskich i instruktoskich ZHP",Horyzonty,15,"Dokumenty wewnętrzne"
403,"W kręgu przyjźni","Feliks Bocian",1,Instruktorzy
404,"Harcerskie ideały","Horyzonty ",8,Instruktorzy
405,"Harcerskie kręgi seniorów - informator","Horyzonty ",1,Instruktorzy
406,"Nasz krąg","Piotr Rządca",3,Instruktorzy
407,"Samorządna i organiozacyjna działalność dzieci i młodzieży w szkole; system wychowawczy szkoły podstawowej- materiały metodyczne","Zofia Prywer i Ziarko",2,Instruktorzy
408,"Harcerski Uniwersytet Społeczny cz. 1-3","Horyzonty ",3,Instruktorzy
409,"Szkice pedagogiczne o harcerstwie","Kazimierz Jaskot",3,Instruktorzy
410,"Siła jest w tobie","Joanna i Grzegorz Michalscy",8,Instruktorzy
411,"Spotkania w instruktorskim kręgu","Bogusław Śliwerski",1,Instruktorzy
412,"Harcerstwo szkołą liderów","Dorota Kołakowska",1,Instruktorzy
413,"Więź społeczna kadry instruktorskiej ZHP","Horyzonty ",1,Instruktorzy
414,"Stopnie harcerskie z dziejów metodyki","Wojciech Śliwerski",1,Instruktorzy
415,"Wspinaczka po stopniach","Michał Królikowski",2,Instruktorzy
416,"O metodzie harcerskiej i jej stosowaniu ","Ewa Grodecka",14,Instruktorzy
417,"Harcerzom starszym pod rozwagę II","Młodzieżowa Agenczja Wydawnicza",1,Instruktorzy
418,"Rozczarowania i nadzieje","Wiesław Mercik",1,Instruktorzy
419,"Stystem stopni harcerskich (2003)","Horyzonty ",2,Instruktorzy
420,"Przed zjazdem programowym ZHP","Adam Kohler",3,"Dokumenty wewnętrzne"
421,"Szczep - ośrodek","M. Wardęcki",1,Instruktorzy
422,"Aby z nimi pracować, trzeba ich poznać","Robert Jarocki",1,Instruktorzy
423,"Kształcenie, dokumenty i regulaminy",Horyznoty,1,"Dokumenty wewnętrzne"
424,"Wskazówki dla skautmistrzów","Generał Robert Baden-Powell",3,Instruktorzy
425,"Zbiór instrukcji i regulaminów - instruktorzy","Główna Kwatera",1,Instruktorzy
426,"Zbiór instrukcji i regulaminów - zuchy","Główna Kwatera",1,Instruktorzy
427,"System stopni harcerskich (1993)",Horyznoty,13,"Dokumenty wewnętrzne"
428,"Strategia ZHP","Główna Kwatera",2,"Dokumenty wewnętrzne"
429,"Statut ZHP; konferencja przed 40. Zjazdem ZHP","Andrzej Kopacz",1,"Dokumenty wewnętrzne"
430,"Regulamin sprawności harcerskich, podstawowy zewstaw sprawności harcerskich (1985)","Główna Kwatera",1,"Dokumenty wewnętrzne"
431,"Poradnik przewodniczącego kręgu instruktorskiego","",1,Instruktorzy
432,"System stopni harcerskich (1981)","Chorągiew Łódzka",1,Instruktorzy
433,"Sprawozdanie komendanta i komendy ZHP za okres 04.04.2004-15.01.2001","Chorągiew Łódzka",1,Instruktorzy
434,"Konstytucja Rzeczpospolitej Polskiej","Aleksander Krajewski",1,Instruktorzy
435,"Poradnik bezpieczeństwo w ZHP",ZHP,1,Instruktorzy
436,"Regulamin mundurowy (2015)","Główna Kwatera",1,Instruktorzy
437,"Ptaki drapieżne - scenariusze zajęć lekcyjnych","Komitet ochrony orłów, autor zbiorowy",3,Ekologia
438,"Program edukacji ekologicznej ""Eko-ścieżka"" dla dzieci i młodzieży","Hufiec ZHP Łódź - Górna, hm Wiesława Szczawińska, pwd Małgorzata Łykowska",2,Ekologia
439,"Program edukacji ekologicznej dla klas I-III szkoły podstawowej","Bogusława Bogucka",1,Ekologia
440,"Program edukacji ekologicznej ""Młodzi ekolodzy to my"" dla dzieci i młodzieży, cz. 1","Hufec ZHP Łódź-Górna, Małgorzata Łykowska",1,Ekologia
441,"Program edukacji ekologicznej ""Czysta ziemia"" - cz. 1 dla dzieci i młodzieży","Hufiec ZHP Łódź - Górna, hm Wiesława Szczawińska, pwd Małgorzata Łykowska",1,Ekologia
442,"Zimowy wypoczynek z programem ekologicznym dla dzieci i młodzieży z rodzin ubogich i patologicznych ""EKO-zima"" ","hm. Wiesława Szczawińska",1,Ekologia
443,"Program edukacji ekologicznej ""Zielona ścieżka"" - cz. 1 dla dzieci i młodzieży","Hufiec ZHP Łódź - Górna pwd Małgorzata Łykowska",2,Ekologia
444,"Program edukacji ekologicznej ""Ziemia jest jedna"" dla gromad zuchowych i drużyn harcerskich Hufca ZHP Łódź - Górna ","hm. Wiesława Szczawińska",2,Ekologia
445,"Letni wypoczynek z programem ekologicznym dla dzieci z rodzin patologicznych ""Ziemia jest jedna""","hm. Wiesława Szczawińska",1,Ekologia
446,"Moje środowisko - program międzyprzedmiotowy edukacji gimnazjalnej","Piotr Znaniecki",1,Ekologia
447,"Coś ty zrobił? dla zrównowqażonego rozwoju ","Magazyn ekologiczny kropla",2,Ekologia
448,"Tropami przyrody nr. 5","Tropami przyrody - edukacyjny magazyn dla dzieci",1,Ekologia
449,"Zieloną ścieżką... edukacja ekologiczna dla klas 7-8","Wydawnictwa szkolne i pedagogiczne",1,Ekologia
450,"Sam(a) dbam o środowisko","Wydawnictwo Europa",1,Ekologia
451,"Raport o stanie środowiska w województwie łódzkim w 2000 roku","Biblioteka monitoringu środowiska",1,Ekologia
452,"Zieloną ścieżką przez geografię - Edukacja ekologiczna w gimnazjum","praca zbiorowa pod red. Joanny Angiel",1,Ekologia
453,"ABC segregacji","wyd. Źródła",7,Ekologia
454,"Ekologiczny program odzyskiwania wkładów do drukarek","Future Green Polska",1,Ekologia
455,"Ilustrowana encyklopedia szkolna - Ekologia i ochrona środowiska","RES POLONA",22,Ekologia
456,"Harcerskie lasy na terenie miasta Łodzi - działalność sztabu harcerskiego ""Mikroklimat"" 1962 - 1972","hm Marian Kierczuk",1,Ekologia
457,"Święto drzewa","Klub Gaja",1,Ekologia
458,"Założenia polityki ekologicznej miasta Łodzi, 1997","Urząd miasta Łodzi - dział ochrony środowiska",1,Ekologia
459,"Raport ""Górna pod lupą"" ","Małgorzata Łykowska",4,Ekologia
460,"Spotkanie z ekologią ","Małgorzata Łykowska",1,Ekologia
461,"Parki narodowe w Polsce","Kazimierz Saysse - Tobiczyk",1,Ekologia
462,"Edukacja ekologiczna - Metody i przykłady","Polski Klub Ekologiczny",1,Ekologia
463,"Praktyczne przygotowanie do ochrony środowiska","Irena Walentyńska",1,Ekologia
464,Ekologia,"wyd. SBM",1,Ekologia
465,"Patrzę, podziwiam, poznaję - Ekologia","wyd. Arkady",1,Ekologia
466,"Nadwarciański Gród","Terenowa baza edukacji ekologicznej ""Zielona Szkoła""",1,Ekologia
467,"Informator sprzątanie świata - Polska; 21-23 września 2001","Fundacja Nasza Ziemia",1,Ekologia
468,"Ekospotkanie - Propozycje gier środowiskowych","Elżbieta Tyralska - Wojtycza, Ewa Stojak - Ślęczek",1,Ekologia
469,"Edukacja środowiskowa w terenie - pomysły i pomoce","Dorota Soida, Teresa Kotynia",2,Ekologia
470,"Ochrona środowiska - Tajemnice powietrza i wody","Wydawnictwa szkolne i pedagogiczne",1,Ekologia
471,"Ochrona środowiska - Poznaj, zbadaj","Wydawnictwa szkolne i pedagogiczne",1,Ekologia
472,"Edukacja Ekologiczna - zbiór materiałów dla nauczycieli i studentów","Małgorzata Grodzińska - Jurczak, Ryszard Jamka",1,Ekologia
473,"Ekologia w obrazkach","Larry Gonick, Alice Outwater",1,Ekologia
474,"Polskie parki narodowe","wyd. Dragon",1,Turystyka
475,"Ochrona środowiska, wybrane zagadnienia","pod red. Barbara Kozłowska",2,Ekologia
476,"Podstawy Gospodarki odpadami","Czesława Rosik Dulewska",1,Ekologia
477,"Dwa przełomy","Jan Jerzy Karpiński, Tadeusz Szczęsny",1,Ekologia
478,"Leksykon ochrony środowiska ze słownikami polsko-angielskim, angielsko-polskim, polsko-niemieckim, niemiecko-polskim","Fundacja ECOBALTIC",1,Ekologia
479,"Kupuj odpowiedzialnie - Twoje pieniądze kształtują świat, poradnik dla uczniów szkół ponadpodstawowych","wyd. Polska Zielona Sieć",5,Ekologia
480,"Poradnik przyrodoznawstwa dla drużynowych harcerek","Małgorzata Kwiatkowska",1,Ekologia
481,"Księga ekologa - wprowadzenie do podstaw ekologii","Hakan Pleijel",1,Ekologia
482,"Ten piękny tajemniczy świat","Teresa Gałczyńska",1,Ekologia
483,"Atlas minerałów","Olaf i Ulrike Medenbach",1,Przyrodnicze
484,"Atlas zwierząt, przydatny z natury rzeczy","Łukasz Przybyłowicz",1,Przyrodnicze
485,"Parki i ogrody województwa dolnośląskiego","Gosia Świderek",1,Ekologia
486,"Spotania z przyrodą - drzewa","Mark Bachofer",1,Przyrodnicze
487,"Ekologia z ochroną środowiska","Ewa Pyłka-Gutowska",1,Ekologia
488,"Ptaki żyjące w mieście","Dorota Zawadzka",1,Przyrodnicze
489,"Funka - las, wolność","Rafał Chmura",1,Ekologia
490,"Funka - ślady zwierząt","Maciej Maciejewski",1,Ekologia
491,"Funka - ogród ekologiczny ","Zbigniew Przybylak",1,Ekologia
492,"Funka - przyrodnicza ścieżka dydaktyczna","Ewa Kraśnicka-Korczyńska",1,Ekologia
493,"Funka - owady okolic funki","Jacek Wendzonka",1,Ekologia
494,"Funka - wiejska wycieczka","Bożena Błaszczyńska",1,Ekologia
495,"Funka - wodna ścieżka dydaktyczna Łukomie","Wydawnictwo Pegaz",1,Ekologia
496,"Załęcze Wielkie - popularyzacja edukacji ekologicznej w Nadwarciańskim Grodzie","Krystyna Milcita",1,Ekologia
497,"Co zrobić z tą górą śmieci?","Małgorzata Dziedziurska",13,Ekologia
498,"Bogadztwa natury województwa łódzkiego","Urząd Marszałkowski",1,Ekologia
499,"Parki i ogrody województwa małopolskiego","Gosia Świderek",2,Ekologia
500,"Parki i ogrody województwa zachodniopomorskiego","Gosia Świderek",3,Ekologia
501,"Parki i ogrody województwa pomorskiego","Gosia Świderek",2,Ekologia
502,"Parki i ogrody śląskiego","Gosia Świderek",2,Ekologia
503,"Parki i ogrody województwa wielkopolskiego","Gosia Świderek",1,Ekologia
504,"Edukacja prozdrowotna w szkole podstawowej i gimnazjum","Magdalena Kędziera-Osuchowska, Ewa Kuziel",1,Ekologia
505,"Ekologia - podręcznik dla uczniów gimnazjum","Tomasz Umiński",1,Ekologia
506,"Tajemnice gleby, chrń swoje środowisko","Łopata, Rudnik, Nowak",1,Ekologia
507,"Wróćmy do ziół","O.Andrzej Czesław Klimuszko",1,Ekologia
508,"Ekologia ogólna","Stanisław Wiąckowski",1,Ekologia
509,"Parki i ogrody oczami młodzieży ","Gosia Świderek",1,Ekologia
510,"Szanse i zagrożenia edukacji ekologicznej w terenie (2000)","Teresa Kotynia",1,Ekologia
511,"Szanse i zagrożenia edukacji ekologicznej w terenie (2001)","Teresa Kotynia",2,Ekologia
512,"Szanse i zagrożenia edukacji ekologicznej w terenie (1999)","Teresa Kotynia",1,Ekologia
513,"Edukacja ekologiczna w terenie - wybór scenariuszy","Teresa Kotynia",1,Ekologia
514,"Lasy mazurskie, puszcza piska",Digkart,1,Ekologia
515,"Podstawy ochrony środowiska 1","J. B. Faliński",1,Ekologia
516,"Podstawy ochrony środowiska 2","J. B. Faliński",1,Ekologia
517,"Podstawy ochrony środowiska 3","J. B. Faliński",1,Ekologia
518,"Podstawy ochrony środowiska 4","J. B. Faliński",1,Ekologia
519,"Podstawy ochrony środowiska 5","J. B. Faliński",1,Ekologia
520,"Podstawy ochrony środowiska 6","J. B. Faliński",1,Ekologia
521,"Szkolne ogrody - zielone pracownie","Gosia Świderek",1,Ekologia
522,"Poradnik ochrony ptaków","Jan Sokołowski",1,Ekologia
523,"Struga siedmiu jezior","Marian Broński",1,Ekologia
524,"Zielone znaki, czyli jak wybrać produkty przyjazne środowisku","Piotr Znaniecki",1,Ekologia
525,"Dobre zakupy - poradnik","Piotr Znaniecki",3,Ekologia
526,"Eko podszepnik","Monika Szala",6,Ekologia
527,"Słownik szkolny - ekologia","H. Hłuszczyk, A. Stankiewicz",1,Ekologia
528,"Łagiewniki łódzkie","Tadeusz Maćkowiak",1,Ekologia
529,"Podręcznik ekologicznego obozowania","Krzysztof Kowalczyk",2,Ekologia
530,"Na straży przyrody","Adam Wodziczko",1,Ekologia
531,"Mini atlas drzew i krzewów","Małgorzata Papuga",5,Ekologia
532,"Mini atkas do oznaczania roślin","Małgorzata Łykowska",1,Ekologia
533,Raptularz,"Chorągiew Łódzka",1,Ekologia
534,"Życie drzewa ","J. Kacprzak",1,Ekologia
535,"Nauka poszłza w las","J. Kacprzak",1,Ekologia
536,"Nadzieja matką mądrych - eseje o ekologii","Henryk Skolimowski",1,Ekologia
537,"Ochrona przed odpadami","Ewa Grochowicz, Jan Korytkowski",1,Ekologia
538,"Ochrona przyrody i wód","Ewa Grochowicz, Jan Korytkowski",1,Ekologia
539,"Ochrona powietrza","Ewa Grochowicz, Jan Korytkowski",1,Ekologia
540,"Ochrona gleb","Ewa Grochowicz, Jan Korytkowski",1,Ekologia
541,"Przyjaźni środowisku","Laureaci konkursu",1,Ekologia
542,"ABC gospodarki odpadami","Urząd Marszałkowski",1,Ekologia
543,"Kompendium wiedzy o ekologii","Wydawnictwo naukowe PWN",1,Ekologia
544,"Wychowanie ekologiczne w ZHP","GK ZHP",1,Ekologia
545,"Ochrona i kształtowanie środowiska","Kazimierz Strępczak",1,Ekologia
546,"Harcerski piknik","Katarzyna wierzbicka",5,Ekologia
547,"Przyrodoznawstwo dla harcerzy","Krzysztof Kowalczyk",10,Ekologia
548,"Atlas roślin","Marek Kosiński",1,Przyrodnicze
549,"Atlas Grzybów","Anton Janitor",1,Ekologia
550,"Przewodnik las","Stefan łukomski",1,Przyrodnicze
551,"Poradnik zbieracza ziół","Jadwiga Kwaśniewska",1,Ekologia
552,"Szlaki wakacyjnych wędrówek","Witold Rębkowski",2,Ekologia
553,"Kieszonkowy atlas ptaków","Jonathan Elphic",1,Ekologia
554,"Czy wiesz jaki to kwiat?","Zbigniew Nawara",1,Ekologia
555,"500 zagadek o ochronie środowiska człowieka","S. Frejlak",1,Ekologia
556,"Poznajemy rośliny chronione","Inga Szfedler",1,Ekologia
557,"Atlas Ziół","Emilia Rzędzicka",1,Ekologia
558,"Poznajemy zwierzęta i rośliny wodne","Michał Brodacki",1,Ekologia
559,"Atlas grzybów leśnych","Kazimierz Morvay",1,Ekologia
560,"Zuchowe wyprawy po zdrowie","Gabriela Zielińska",1,Ekologia
561,"Narkotyki ","Filip Robson",1,Ekologia
562,"Poradnik dla organizatorów Akcji antynikotynowych","Katarzyna wierzbicka",1,Ekologia
563,"Przewodnik do życia wolnego od uzależnień ","Artur Doliński",3,Ekologia
564,"Jestem OK, nie palę!","Katarzyna wierzbicka",3,Ekologia
565,"Jak rzucić palenie? prof. Witold Zatoński radzi","prof. Witold Zatoński",1,Ekologia
566,"spotkania z ekologią","Małgorzata Łykowska",10,Ekologia
567,"Harcerski poradnik ekologiczny","Tomasz Romanowski",4,Ekologia
568,"Powietrze którym oddychamy","Chorągiew Łódzka",1,Ekologia
569,"Życie bez papierosa","Anna Socha",5,Ekologia
570,"Jak czytać i rozumieć wyniki badan lekarskich. Poradnik dla pacjentów.","lek. med. Izabela Barcińska",1,Naukowe
571,"Raport o homofobicznej mowie nienawiści w Polsce"," Grek Czarnecki",1,Naukowe
572,"Sytuacja społeczna osób homoseksualnych i biseksualnych w Polsce - raport 2005 i 2006","Martyna Abramowicz",1,Naukowe
573,"Tropy i ślady zwierząt","Wiesław Chmielewski",1,Ekologia
574,"Gwiazdy i planety","Anna Pawłowska",1,Przyrodnicze
575,"Park Krajobrazowy wzniesień łódzkich","Józef Kurowski",7,Turystyczne
576,"Moje środowisko","Piotr Znaniecki",1,Przyrodnicze
577,"Browary Łodzi i regionu","Marcin Szymański",1,Turystyczne
578,"Rośliny tatrzańskie","Zofia Radwańska - Paryska",1,Przyrodnicze
579,"Rośliny lasu liściastego","Tadeusz Traczyk",1,Przyrodnicze
580,"ABC windsurfingu dla najmłodszych","Maciej Szafran",4,Przyrodnicze
581,"Spacerownik Łódzki 1","Ryszard Bonisławski",1,Turystyczne
582,"Pomniki przyrody województwa łódzkiego","Ireneusz Burzyński",1,Turystyczne
583,"Atlas owadów","Heiko Bellmann",1,Przyrodnicze
584,"Poznaj Gorczański Park Narodowy","Krystyna Popko - Tomasiewicz",1,Przyrodnicze
585,"Jakie to drzewo?","Margot Spohln",2,Przyrodnicze
586,"Drzewa i krzewy","Bruno Kremer",3,Przyrodnicze
587,"Atlas ptaków","Dominik Merchowski",1,Przyrodnicze
588,"Najstarsze skarby chrześcijańskiego dziedzictwa Polski"," Jerzy Augustyniak",1,Turystyczne
589,"Zbiórka harcerska z chemią","Piotr Górka",1,Przyrodnicze
590,"Przewodnik młodego Robinsona na wsi","Sylvie Bezuel",1,Przyrodnicze
591,"Grzyby - Leśny poradnik, bawi uczy zaskakuje","Patrick Harding",1,Przyrodnicze
592,"Pierwsza pomoc","Waldemar Fibiger",1,Przyrodnicze
593,"Harcerski poradnik medyczny","Sylwia Jurszo",2,Przyrodnicze
594,"Medycyna w plecaku","Artur Dziak, B. Oyński",4,"Specjalności i techniki harcerskie"
595,"Ochrona przyrody ochroną człowieka",Jaroszek,1,Przyrodnicze
596,"Problemy ochrony powietrza atmosferycznego",Jaroszek,1,Przyrodnicze
597,"Woda jest życiem Tom I","dr. Helen Vretta Kouskoleka",3,Przyrodnicze
598,"Woda jest życiem Tom II","dr. Helen Vretta Kouskoleka",4,Przyrodnicze
599,"Woda jest życiem Tom III","Sławomir Rudziński",3,Przyrodnicze
600,"Ścieżka dydaktyczna ośrodek, ścieżka dydaktyczna źródełko","Załecze Wielkie",1,Przyrodnicze
601,"Warto żyć nad wartą - nadwarciański gród","Krystyna Mikita",5,Przyrodnicze
602,"Harcerz w służbie zdrowia","Boguchwał Panas",1,Przyrodnicze
603,"Łódka i inne rzeki łódzkie","Waldemar Bieżanowski",1,Turystyczne
604,"Pałace ""Ziemii Obiecanej""","Małgorzata Laurentowicz - Granas, Joanna Manżet - Kubiak",1,Turystyczne
605,"Architektura Sakralna Łodzi w okresie przemysłowego rozwoju miasta 1821 - 1914","Krzysztof Stefański",1,Turystyczne
606,"Łódzka Fotografia Krajoznawcza - zarys dziejów ","Waldemar Doniec, Mirosław Zbigniew Wojalski",1,Turystyczne
607,"Łódzkie Zabytki - 21 grafik Kazimierza Zbigniewa Łońskiego","Mirosław Zbigniew Wojalskie",1,Turystyczne
608,"Gdzie: zjeść, spać, umyć się, otrzymać wsparcie specjalistów. Przewodnik po Łodzi","op. Caritas Archidiecezji Łódzkiej",1,Turystyczne
609,"Zanim pójdziesz w góry","Adam Jonak i inni",1,Turystyczne
610,"Szkoła turystyki pieszej","Zygmunt Skibicki",1,Turystyczne
611,"Wspinaczka, czyli droga do marzeń","Rafał Sak",1,Turystyczne
612,"Bieszczady - przewodnik po miejscach noclegowych","Stanisław Orłowski",2,Turystyczne
613,"Amazing City Łódź - ostatnie nieodkryte miasto","biuro architekta miasta",1,Turystyczne
614,"Łódź - Parki zabytkowe","Towarzystwo Przyjaciół Łodzi",1,Turystyczne
615,"Łódzkie na weekend","pod red. Piotra Machalskiego",1,Turystyczne
